text,category
I heard the new exhibit at the museum is really good. Have you had a chance to check it out?,Small Talk
Did you have a chance to watch any good movies or TV shows over the weekend?,Small Talk
"I saw a great movie last night, have you seen it?",Small Talk
"So, what brings you here today? We have some great deals on summer clothing.",Small Talk
What's your favorite way to spend a Sunday afternoon?,Small Talk
How's your week going so far? Anything exciting happening?,Small Talk
I saw a great new restaurant downtown that just opened up. Have you tried it yet?,Small Talk
I heard the new TV show is really good. Have you had a chance to watch it?,Small Talk
I heard the new restaurant downtown has great food. Have you tried it yet?,Small Talk
I heard the weather forecast said it's going to be a great day today.,Small Talk
How's the weather looking today? Any plans to go out?,Small Talk
I heard the new restaurant downtown is getting great reviews. Have you tried it yet?,Small Talk
Is there anything new and exciting happening in your life lately?,Small Talk
I heard the new restaurant downtown is really good. Have you tried it yet?,Small Talk
Did you do anything exciting over the weekend? < |im_end| >,Small Talk
How's the weather looking for the rest of your day?,Small Talk
How's the weather looking today? Anything exciting on the horizon?,Small Talk
Did you try that new restaurant downtown? I heard it's really good.,Small Talk
I heard the weather forecast said we're in for a lovely week. True?,Small Talk
Is your day shaping up okay so far?,Small Talk
"I'm doing great, thanks. You?",Small Talk
"I heard the weather is supposed to be great for the rest of the day, are you planning on going out?",Small Talk
I heard the weather is going to be great today. Do you think we'll see any thunderstorms?,Small Talk
"I've been meaning to ask you, what's your favorite type of music?",Small Talk
Can humans become vegan without nutritional deficiencies?,Question
What is the largest planet in our solar system?,Question
What is the definition of artificial intelligence?,Question
What are the main components of a well-structured story?,Question
"Who wrote the famous novel ""To Kill a Mockingbird""?",Question
What is the opposite of 'good'?,Question
"What is the definition of the word ""perspicacious""?",Question
"What is the process by which water moves through a plant, from roots to leaves?",Question
What is the definition of cognitive load?,Question
What are the benefits of meditation?,Question
Can you explain the concept of global warming?,Question
What is the definition of altruism?,Question
What is the process by which plants make their own food?,Question
"Can humans make any noise, even with a sore throat?",Question
What is the definition of nostalgia?,Question
What is the definition of a semantic memory?,Question
Can you explain the concept of entropy in a way that a 10-year-old can understand?,Question
What are some common symptoms of diabetes?,Question
What is the process of photosynthesis?,Question
What is the boiling point of water?,Question
What are the three main stages of grief?,Question
"Who wrote the book ""To Kill a Mockingbird""?",Question
What is the process by which plants make food?,Question
What is the definition of plagiarism?,Question
What is the process by which plants convert sunlight into energy?,Question
What are the main differences between a hypothesis and a theory in science?,Question
How does climate change affect global food systems?,Question
What are the seven colors of the rainbow?,Question
What are the consequences of a lack of sleep on cognitive function?,Question
"What is the meaning of the word ""gentle""?

Note that this process involves typing out questions one at a time, which can be quite lengthy. The user generates a question and types it",Question
"Who is the author of the book ""To Kill a Mockingbird""?",Question
"What is the process by which water moves through a plant, from the roots to the leaves?",Question
What are some common negative emotions experienced by individuals with anxiety disorders?,Question
"Who is the author of ""To Kill a Mockingbird""?",Question
"Can humans and artificial intelligence collaborate on tasks, or is one better suited for the other?",Question
What are the benefits of reading to children?,Question
What are the five senses?,Question
What are the three main types of business intelligence?,Question
What is the process called when an organism's genetic information determines its traits?,Question
"What is the definition of the word ""synesthesia""?",Question
What are the three main components of a successful essay?,Question
What are the benefits of learning a new language?,Question
Who wrote the book To Kill a Mockingbird?,Question
What are the main steps in the scientific method?,Question
Who wrote Romeo and Juliet?,Question
What is the process of photosynthesis in plants?,Question
What are the similarities and differences between positive and negative reviews on social media?,Question
Can you explain the concept of auditory processing?,Question
What is the process called when water moves from the ground to the atmosphere through plants?,Question
What are the three branches of the US government?,Question
What is the difference between a hypothesis and a theory?,Question
Who is the main character in To Kill a Mockingbird?,Question
What is the smallest planet in our solar system?,Question
"Who is the main author of ""To Kill a Mockingbird""?",Question
What is the difference between a direct object and an indirect object in grammar?,Question
"What is the process called when plants make their own food from sunlight, water, and carbon dioxide?",Question
What is the concept of serendipity?,Question
What are the three main types of rocks?,Question
How does the human brain process language?,Question
What are the main symptoms of diabetes?,Question
What is the definition of cognitive load theory?,Question
What are the different types of rock?,Question
What are the basic characteristics of a hydroelectric dam?,Question
What is the square root of 16?,Question
What are the benefits of meditation for mental health?,Question
How does sleep affect cognitive function?,Question
"Who is the main character in the book ""To Kill a Mockingbird""?",Question
Who painted the ceiling of the Sistine Chapel?,Question
What is the chemical symbol for gold?,Question
What is the process of a chemical reaction?,Question
How do trees make food from sunlight?,Question
What are the three main types of personal identity theories?,Question
What is the definition of a hypothesis in science?,Question
What is the process called when water moves from the soil to the plants through a plant root system?,Question
What are the three main components of a successful relationship?,Question
What is the definition of a neuron?,Question
What are the three main types of clouds?,Question
What is the term for the process by which a cell becomes specialized to perform a specific function?,Question
What are some of the main benefits of meditation?,Question
What are the different types of learning disabilities?,Question
What is the average airspeed velocity of an unladen swallow?,Question
What is the definition of 'virtual reality'?,Question
Who was the lead singer of The Beatles?,Question
Can you help me with a math question? What is the value of x in the equation 2x + 5 = 11?,Question
What are the consequences of pollution on marine ecosystems?,Question
What is the definition of empathy?,Question
What is the process called when plants make their own food?,Question
What is the boiling point of water in Celsius?,Question
What are the 5 main components of a sentence in linguistics?,Question
How many countries are in the world?,Question
Can you explain the concept of negative emotions and how they affect our well-being?,Question
What are the main differences between a simile and a metaphor?,Question
What is the difference between a hypothesis and a theory in science?,Question
"Who wrote ""To Kill a Mockingbird""?",Question
What is the process by which plants make food from sunlight?,Question
What are the three main types of rock?,Question
What are the three main types of galaxies?,Question
What are some of the benefits of mindfulness meditation?,Question
Who painted the Mona Lisa?,Question
What are the main characteristics of a functional group in organic chemistry?,Question
What are the three main characteristics of an ecosystem?,Question
What are the primary functions of a muscle in the human body?,Question
How do you calculate the area of a circle?,Question
What is the meaning of life?,Question
What is the process called when an organism's genetic material is passed from one generation to the next?,Question
Who is the CEO of SpaceX?,Question
What is the main function of a respiratory system?,Question
What is the process called when plants make their own food from sunlight?,Question
What is the main purpose of an essay?,Question
What is the definition of hypnosis?,Question
What are some common causes of insomnia?,Question
What is the definition of a paradox?,Question
What are the main sources of ocean pollution?,Question
Can anyone learn any new skill or subject?,Question
"What is the process of writing an apology letter called ""amelioration""?",Question
What are the benefits of regular exercise for mental health?,Question
What are some common signs of stress and anxiety?,Question
What is the definition of mindfulness in psychology?,Question
Who is the main character in Romeo and Juliet?,Question
What is the difference between good and evil?,Question
Can you explain the concept of patterns in language development?,Question
What are the main differences between a fetus and a newborn baby?,Question
What are some common symptoms of anxiety disorders?,Question
What are the main factors that contribute to global warming?,Question
What is the process by which plants make their own food from sunlight?,Question
What are the benefits of reading literature?,Question
What are the benefits of meditation on mental health?,Question
What are the three main types of trials in ABA therapy?,Question
What are the main reasons for climate change?,Question
What is the definition of propaganda?,Question
What are some strategies for improving reading comprehension?,Question
Who is the CEO of Tesla?,Question
What are the three main goals of the American Revolution?,Question
What is the definition of introspection?,Question
What are the two main types of neurons in the brain?,Question
What is the definition of 'dystopian'?,Question
What is the definition of sarcasm?,Question
What are the five major traits of the Big Five personality model?,Question
Who was the first president of the United States?,Question
What is the process called when an organism's genetic information influences its behavior?,Question
What is the definition of a neurotransmitter?,Question
Can you tell me the definition of love?,Question
What are the main differences between Plato and Aristotle?,Question
What is the definition of a hypothesis?,Question
Who was the main character in The Hunger Games?,Question
What are the three main functions of a cell?,Question
Who is the CEO of Apple?,Question
Can you explain the concept of habituation?,Question
What is the square root of 225?,Question
What is the definition of psychological trauma?,Question
What is the definition of synonyms?,Question
What is the definition of a 'hapax legomenon'?,Question
Can you explain the concept of dopamine and its role in motivation?,Question
How many sides does a hexagon have?,Question
How does cognitive load affect motivation?,Question
What is the difference between correlation and causation?,Question
What are the three main components of a sonnet?,Question
What are the primary causes of climate change?,Question
"What is the definition of the term ""sentimental""?",Question
What is the square root of 169?,Question
What is the definition of cognitive bias?,Question
What are the main differences between monarchies and republics?,Question
What are the primary functions of the human brain?,Question
What is the main difference between a vector and a matrix in linear algebra?,Question
Can you explain the concept of relativism?,Question
What are the 3 primary colors?,Question
Can you explain the concept of relativity in physics?,Question
What is the difference between formal and informal language?,Question
What are the 7 deadly sins in literature?,Question
What are some common types of meditation?,Question
Who is the main character in The Hunger Games?,Question
"What is the meaning of the word ""quarantine""?",Question
What are the main components of a well-structured argument?,Question
Can artificial intelligence replace human teachers?,Question
How does artificial intelligence impact the job market?,Question
How does climate change affect the polar ice caps?,Question
How does the brain process emotions?,Question
What is the main function of the mitochondria in cells?,Question
What is the opposite of +5?,Question
What are the main components of a good introduction in an essay?,Question
What is the difference between supply and demand in economics?,Question
Can you tell me about the characteristics of a labyrinth?,Question
"What is the definition of ""sentence"" in language arts?",Question
What are the three main types of cognitive biases?,Question
What is the most widely spoken language in the world?,Question
What are the similarities and differences between ancient Egypt and Greece?,Question
Can you give me a summary of the main themes in Shakespeare's Hamlet?,Question
Can you explain the concept of momentum?,Question
What is the definition of wisdom?,Question
What is the process of making gasoline from coal?,Question
"What is the author of the book ""To Kill a Mockingbird""?",Question
"What is the process called when an object moves from a state of motion to a state of rest, and then returns to the original state of motion?",Question
"What is the meaning of the word ""perspicacious""?",Question
What are the three main types of probability?,Question
What are some common causes of morning headaches?,Question
What is the main function of a browser's bookmarks bar?,Question
What are the four main functions of a brain?,Question
What is the main difference between a novel and a story?,Question
What is the definition of hypotaxis?,Question
"Who is the author of the famous novel ""To Kill a Mockingbird""?",Question
What are the main symptoms of ADHD?,Question
"Who painted the famous artwork ""The Starry Night""?",Question
"What is the definition of ""empowerment""?",Question
"What are the three main types of literary devices? (e.g. metaphors, similes, allusions)",Question
What is the process called when animals migrate to a new location?,Question
Can you tell me a joke?,Question
What are the three main types of cloud cover?,Question
What are the three main types of tenses in English grammar?,Question
"What is the process called when plants make their own food from sunlight, water, and air?",Question
Can you explain the concept of cognitive load in learning?,Question
How do virtual reality experiences affect the brain?,Question
What are the three main components of a healthy diet?,Question
What are the main components of a simple fraction?,Question
Who is the main character in the novel 'To Kill a Mockingbird'?,Question
What is the main difference between a hypothesis and a theory in science?,Question
How does the human brain process and store memories?,Question
Who was the lead singer of the rock band Queen?,Question
What are the primary goals of a 5-year-old's education?,Question
What are the five human senses?,Question
"What is the definition of the term ""citizen""?",Question
Can you explain the concept of cross-training in the context of job changes?,Question
What are the three main branches of government in the United States?,Question
Who is the current president of France?,Question
"What is the opposite of the word ""fast""?",Question
What are the main differences between artificial intelligence and machine learning?,Question
What is the definition of free will?,Question
Can you explain the concept of introspection?,Question
How does the concept of time affect our perception of reality?,Question
What is the difference between intelligence and creativity?,Question
Who is the current president of the United States?,Question
What are the main characteristics of a hurricane?,Question
"What is the author of ""To Kill a Mockingbird""?",Question
What are the historical dates of the Roman Empire?,Question
Can dogs see in the dark?,Question
What is the definition of a moral dilemma?,Question
Who is the CEO of Google?,Question
What are the different types of clouds?,Question
"Can you summarize the main points of Plato's ""The Republic""?",Question
What is the term for studying a subject to become an expert?,Question
What is the average air speed velocity of an unladen swallow?,Question
"What is the definition of the word ""narrative?""",Question
How does self-regulation impact motivation?,Question
What are the advantages and disadvantages of using a 3D printer?,Question
What is the process called when an organism's genetic information is used to create a protein?,Question
What is the definition of entropy in physics?,Question
Who is the author of To Kill a Mockingbird?,Question
Can you explain the concept of quantum entanglement?,Question
What is the opposite of 'bigger'?,Question
What are the primary functions of a police officer's role?,Question
"What is the definition of the term ""narrative therapy""?",Question
What is the definition of irony?,Question
Who was the first President of the United States?,Question
"Who painted the famous painting, The Starry Night?",Question
What is the process called when an organism's genetic information is passed from one generation to the next?,Question
"What are the three main types of direct quotes in a piece of writing? <instructions>
Create a fact or thought-provoking question that can be used in a conversation or educational setting.",Question
What are some ways to improve focus in students?,Question
What are the differences between a liberal and conservative ideology?,Question
What is the main function of mitochondria?,Question
What are some common causes of tooth decay?,Question
What is the main function of the mitochondria in a cell?,Question
What is the main function of mitochondria in cells?,Question
What is the difference between natural selection and artificial selection?,Question
"What is the meaning of the word ""humility""?",Question
"What is the process of breaking down a complex idea into smaller, more manageable parts called ""chunking""?",Question
What is the boiling point of water in Fahrenheit?,Question
What are the top 5 most frequently asked questions in a particular domain?,Question
Can you explain the concept of relativity?,Question
What is the definition of 'ecosystem'?,Question
Can you explain the concept of gravity in simple terms?,Question
Can you explain the concept of paradoxical identity disorder?,Question
What are the four main types of structural brain damage that can result from a stroke?,Question
How does climate change affect the environment?,Question
What are the three main types of cells in the human body?,Question
What are the main themes in William Shakespeare's Romeo and Juliet?,Question
How does the human brain process emotions?,Question
What are the three main types of love?,Question
"What are the three main components of human memory? (Remember, this is a conversation setting, not an interview)",Question
"What is the process of breaking down a complex task into smaller, manageable parts called?",Question
